,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
0,Apartamento,Centro,1,0,0,15,800.0,390.0,20.0,53.33,Apartamento
1,Apartamento,Higienópolis,1,0,0,48,800.0,230.0,0.0,16.67,Apartamento
2,Apartamento,Cachambi,2,0,0,50,1300.0,301.0,17.0,26.0,Apartamento
3,Apartamento,Grajaú,2,1,0,70,1500.0,642.0,74.0,21.43,Apartamento
4,Apartamento,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0,16.67,Apartamento
5,Apartamento,Copacabana,1,0,1,40,2000.0,561.0,50.0,50.0,Apartamento
6,Apartamento,Freguesia (Jacarepaguá),3,0,0,54,950.0,300.0,28.0,17.59,Apartamento
7,Apartamento,Barra da Tijuca,2,1,1,67,1700.0,589.0,147.0,25.37,Apartamento
8,Apartamento,Tijuca,2,1,0,110,1900.0,700.0,138.0,17.27,Apartamento
9,Apartamento,Olaria,3,1,0,68,1000.0,670.0,0.0,14.71,Apartamento
10,Apartamento,Tijuca,2,1,0,78,2000.0,700.0,0.0,25.64,Apartamento
11,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0,56.0,Apartamento
12,Apartamento,Tijuca,1,0,0,48,750.0,772.0,25.0,15.62,Apartamento
13,Apartamento,Barra da Tijuca,3,3,1,175,4200.0,1500.0,500.0,24.0,Apartamento
14,Apartamento,Botafogo,2,1,0,76,2500.0,740.0,0.0,32.89,Apartamento
15,Apartamento,Copacabana,3,0,0,180,5500.0,1780.0,420.0,30.56,Apartamento
16,Apartamento,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0,21.9,Apartamento
17,Apartamento,Leblon,3,1,0,110,3900.0,1500.0,120.0,35.45,Apartamento
18,Apartamento,Jardim Oceânico,3,3,1,200,3500.0,1780.0,496.0,17.5,Apartamento
